date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:58:13	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Mar%202024%2004:28:13%20GMT	https://officesuitetools.online/robots.txt		(from )
09:58:13	24148/24148	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2017:19:14%20GMT	https://officesuitetools.online/	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/index.html	(from )
09:58:13	4018/4018	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2020:33:46%20GMT	https://officesuitetools.online/assets/img/apple-icon.png	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/img/apple-icon.png	(from https://officesuitetools.online/)
09:58:13	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2004%20Nov%202020%2020:33:34%20GMT	https://officesuitetools.online/assets/img/favicon.ico	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/img/favicon.ico	(from https://officesuitetools.online/)
09:58:14	5656/5656	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Sep%202023%2018:37:00%20GMT	https://officesuitetools.online/assets/css/templatemo.css	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/css/templatemo.css	(from https://officesuitetools.online/)
09:58:14	153111/153111	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202020%2001:27:36%20GMT	https://officesuitetools.online/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/css/bootstrap.min.css	(from https://officesuitetools.online/)
09:58:14	17/17	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Oct%202020%2003:04:48%20GMT	https://officesuitetools.online/assets/css/custom.css	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/css/custom.css	(from https://officesuitetools.online/)
09:58:15	59356/59356	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2007:45:00%20GMT	https://officesuitetools.online/assets/css/fontawesome.min.css	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/assets/css/fontawesome.min.css	(from https://officesuitetools.online/)
09:58:15	24148/24148	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Mar%202024%2017:19:14%20GMT	https://officesuitetools.online/index.html	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/index-2.html	(from https://officesuitetools.online/)
09:58:15	11131/11131	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2018:17:58%20GMT	https://officesuitetools.online/about.html	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/about.html	(from https://officesuitetools.online/)
09:58:16	11479/11479	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2018:17:58%20GMT	https://officesuitetools.online/disclaimer.html	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/disclaimer.html	(from https://officesuitetools.online/)
09:58:16	12318/12318	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2018:17:58%20GMT	https://officesuitetools.online/contact.html	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/contact.html	(from https://officesuitetools.online/)
09:58:16	21902/21902	---M--	200	added ('OK')	image/webp	date:Mon,%2003%20Oct%202022%2018:46:32%20GMT	https://m.media-amazon.com/images/I/7130oI2I7zL.__AC_SY445_SX342_QL70_FMwebp_.jpg	C:/My%20Web%20Sites/Office%20Revew%20webpage/m.media-amazon.com/images/I/7130oI2I7zL.__AC_SY445_SX342_QL70_FMwebp_.jpg	(from https://officesuitetools.online/)
09:58:17	80988/80988	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Oct%202022%2018:33:37%20GMT	https://m.media-amazon.com/images/I/71SokR+FacL._AC_SX679_.jpg	C:/My%20Web%20Sites/Office%20Revew%20webpage/m.media-amazon.com/images/I/71SokR+FacL._AC_SX679_.jpg	(from https://officesuitetools.online/)
09:58:17	21994/21994	---M--	200	added ('OK')	image/webp	date:Tue,%2005%20Oct%202021%2016:29:44%20GMT	https://m.media-amazon.com/images/I/81uSP-vI1eL.__AC_SY445_SX342_QL70_FMwebp_.jpg	C:/My%20Web%20Sites/Office%20Revew%20webpage/m.media-amazon.com/images/I/81uSP-vI1eL.__AC_SY445_SX342_QL70_FMwebp_.jpg	(from https://officesuitetools.online/)
09:58:17	20127/20127	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Mar%202024%2018:45:20%20GMT	https://officesuitetools.online/personal.html	C:/My%20Web%20Sites/Office%20Revew%20webpage/officesuitetools.online/personal.html	(from https://officesuitetools.online/)
